article_id,start,end,answered,votes,category,title,content
579501,2019-04-10,2019-05-10,0,272,행정,이나라 이정부 검찰 어떻게 해야하나요????,썩어빠진 이나라 이정부 검찰 어떻게해야하나요? 경기도 고양시 마두역에 위치한 ***빌딩을 관리하는 회사가 건물을 관리하는 관리비징수권한이 있다고 대법원에서 판결하였음에도 건물의 80%을 소유한 소유자가 임차인을 협박하여 관리비를 징수할 권한이 없음에도 자신에게 관리비를 내지않으면 나가라고 협박하여 임대료외에 권한없이 관리비를 약10억원을 강제징수 하여 사사로이 지출하고 있다 건물을 관리하고 있는 관리회사가 받아야할 관리비를 받지못하여 횡령죄 업무방해죄등으로 고양지청에 고소하여 (사건번호*************) 고양지청에서 조사 하였는데 조사과정에서 검찰의 조사관이 피고소인에게 당신은 범죄를 구성하는 확실한 증거가 넘쳐나고 죄가 분명하여 횡령죄로 기소를 피할수 없다고 하면서 조사를 마쳤다 그런데 왠일인지 몇일후에 불기소처분 하였다 고소인이 담당조사관에게 어떻게 된것이냐고 물어볼려고 담당조사관과 전화통화를 하려고 하였으나 조사관이 전화를 받지않고 피하기 때문에 전화를 할 수가 없었다 권한없이 관리비를 강제징수하여 사사로이 지출하고도 아무죄가 되지않는다면 이나라에서는 횡령죄와 업무방해죄의 법조항을 없애야 한다고 생각한다 더구나 고소인이 민사소송을 제기하여 대법원에서 관리비징수 권한은 고소인인 건물관리회사에 있다고 하였고 만약 피고소인이 이를 위반할시에는 고소인에게 위반시마다 1일당 100만원씩 고소인에게 주어야 한다고 판결하였음에도 계속위반 하였는데도 검찰에서는 불기소 처분하는 것은 대통령의 지시가 없기전에는 있을수 없는 사안이라고 고소인은 판단하고 체념하고 있는 상태이다 이러한 억울한 사정을 진정 이나라에서는 해결할 방법이 없는것인가? 이러한 썩은사회에서 빽이 없으면 죽어야 하는가? 국민여러분은 어떻게 생각하십니까? 이나라 이정부에서는 귀를 막고있는가? 이러한 내용을 청와대민원실 언론기관 여야각정당 그리고 국회의원 국무총리실 검찰청에게 까지 민원제기 하였으나 민원제기 내용을 고양지청에 이첩하였다는 답변만하고 모두들 나몰라라 하였다 이나라 이정부 썩어빠진 검찰을 어찌하면 좋겠읍니까? 속시원히 답변좀 해 주세요 민원제기자 이** (031-***-****) [본 게시물의 일부 내용이 국민 청원 요건에 위배되어 관리자에 의해 수정되었습니다]
579502,2019-04-10,2019-05-10,0,387,반려동물,"동물보호단체의 후원금 및 국가지원금을  '기부금회계관리 플렛폼'을 통해 관리, 운영하는 방안을 제안드립니다.","<제안내용> 1. 동물보호단체의 밝혀진 비리 또는 (공공연한)의혹은 국민의 후원금과 국가에서 지원받은 지원금의 사용출처가 투명하지 못한 것에 상당히 집중되어 있습니다. 2. 동물보호단체의 후원금 및 국가지원금은 ‘국가회계시스템 에듀파인’과 같은 '기부금회계관리 플렛폼'을 통해 관리, 운영하는 방안을 제안드립니다. 3.	(일부)동물보호단체의 후원금 모금은 대국민 사기극 입니다. 동물보호단체의 후원금, 국가지원금 반환소송 또한 함께 진행해야 합니다. (ex : 문재인 대통령의 반려견이자 한때 유기견이었던 ‘토리’를 앞장세워 유기견캠패인을 벌려 후원금 모금활동을 **의 사례는 국민의 분노를 사게 만든 사건입니다.) 4.	반환된 금액은 '기부금회계통합관리 플렛폼;에 귀속시켜 단체의 활동내용과 예산사용출처가 투명하게 공개, 관리될 수 있도록 해야 합니다. 5.	이를 통해 실제 동물구조 및 보호활동 등 유기동물들에게 직접적으로 영향을 미칠 수 있는 곳에 예산이 투입될 수 있도록 하여야 할 것입니다. (ex : 통합플렛폼을 통해 필요한 예산을 활동계획서와 함께 제출한다. => 예산을 할당 받는다. => 활동 후 결과보고서를 제출하고, 실제 사용한 비용을 정산한다.) <제안배경> 1.	동물보호 단체의 비리가 전국 곳곳에서 발생하고 있습니다. 2.	이는 후원금 및 국가지원금이 각각의 단체에 직접적으로 입금되는 시스템의 문제이며, 이를 악용하여 명분좋고, 허울좋은 가짜 동물보호단체가 난립하여 사적목적으로 자금을 유용하는 사회적 문제로 이어지고 있는 것입니다. 3.	동물보호단체의 활동내용과 회계방식을 하나의 '통합플렛폼'을 통해 관리한다면, 그 관리포인트는 획기적으로 줄어 들 것으로 예상합니다. <비리사례> 1.	이미 잘 알려진 ** 안락사 기사 외에도 동물보호단체 **의 사기/기부금품법 위반, **반려동물센타 동물학대, **시 유기동물보호소 보조금 부정수급 등 여론에 제대로 알려지지 않은 동물보호단체들의 공공연한 비밀, 비리들이 만연해 있는 실정입니다. 2.	국민의 실망감에 후원이 급속히 줄어들고 있고, 사명감에 활동하고 계신 순수활동가, 특히 소규모단체가 입는 타격은 매우 크며, 그 피해는 고스란히 동물들에게 돌아가고 있습니다. 3.	언론플레이에 능한 일부 거대동물권단체에 후원금이 몰리는 성향도, 소규모 동물단체의 후원금 모집에 영향을 미친다는 의견도 있습니다. 4.	또한, ** 유기동물보호소의 보조금 부정수급 사건은 2016년도부터 위탁운영하고 있는 비영리사단법인 ‘**** **** ***’ 대표 이** 소장이 운영하고 있던 곳으로 유기동물 생명권확보와 인식개선에 앞장섰다는 평가를 받으며 농림축산식품부 장관상까지 받은 인물이라 충격이 더 큽니다. 5.	이런 문제들이 발생할 때 마다 지자체의 관리소홀, 뒷북행정 등을 문제원인으로 지적하는게 대부분인데, 국가지원금, 개인후원금 등을 받아 활동하는 수많은 단체들의 활동을 지자체 소수의 직원들로 관리한다는 건 사실상 불가능 한 것으로 모든 책임을 지자체 쪽으로만 돌리는 것은 문제를 해결하는데 아무런 도움이 되지 못한다고 생각됩니다. [본 게시물의 일부 내용이 국민 청원 요건에 위배되어 관리자에 의해 수정되었습니다]"
579503,2019-04-10,2019-05-10,0,409,육아/교육,(재)******교육연구원에 대한 허위사실유포 및 명예훼손행위 중단촉구에 동참해 주십시오.,"********협의회의 국민청원 14480에 대하여 재단법인 ********연구원(이하 재단)은 다음과 같이 재단의 공식입장을 표명합니다. 1988년 공익법인 설립에 관한 법률에 의해 설립된 재단은 고 정주영 회장이 출연한 송파구 소재 ******회관의 임대수익금과 국민의 후원금으로 재단을 운용해오면서 청원인 ********협의회(이하 협의회)가 지역사회교육운동을 수행할 수 있도록 적극 후원해왔습니다. 협의회는 재단의 운용자산인 회관 4, 5층을 임차하여 임대료를 2014년까지 성실히 납부해왔습니다. 그러나 협의회는 지난 2014년 돌연 소유권을 주장하며 5년간 임대료 납부를 중단함으로써 재단은 목적사업을 수행할 수 없는 상태에 이르렀습니다. 나아가서 협의회는 회관 1층과 지하층까지 점거하여 재단의 자산운용을 불법적으로 방해하고 있습니다. 협의회의 불법행위에 대하여 재단은 부득이 2016년 5월 임대료 청구 및 건물명도소송을 제기하였고 2018 11. 16 법원은 “협의회가 점유하고 있는 4개 층을 명도하고 임대료 8억 5천만 원을 지급하라”는 판결을 내렸습니다. 협의회는 2014년 당시 회원들의 모금에 의해 조성된 기금이 약 8억 여원이었지만 몇 년 전 부터는 총회에 재산명세서도 공개하지 않고 있습니다. 협의회는 지금도 밀린 임대료는 물론 점유중인 4개 층에 대한 사용료를 납부하지 않으며 재단에 막대한 피해를 주고 있기에, 부득이 한 개 층에 대하여 명도집행을 하였습니다. 그러나 여전히 이에 저항하며 불법점유를 하고 있는 상태입니다. 자기주장만 하고 법원의 판결마저 거부하는 협의회는 대한민국의 법을 부정하는 것이며, 재단이 악행을 행한다고 청원하는 것은 허위사실이자 재단에 대한 엄연한 명예훼손임을 알립니다. 재단은 공익법인으로서 모든 의사결정과 회계를 법과 정관에 따라 정당하고 투명하게 수행하고 있음을 천명하는 바입니다. 국민여러분 ! 허위사실 유포 및 명예훼손으로 공익활동에 방해를 받고 있는 본 법인이 정상적인 활동으로 지역사회교육운동을 바로 세울 수 있도록 도와주십시오. 재단법인 ******연구원 이사 일동 [본 게시물의 일부 내용이 국민 청원 요건에 위배되어 관리자에 의해 수정되었습니다]"
579504,2019-04-10,2019-05-10,0,"1,400",안전/환경,화물연대의 횡패와 무능한 경찰의 공권력,"경기도 안성시에 물류센터에 근무하는 화물운송직 지입기사 입니다. 제가 근무하는 물류센터에 4월 1일부로 화물연대의 시위가 시작되었습니다. 최초 물류센터 진입로인 주도로에 불법주차를 하여, 마을주민 및 물류센터에 물류저치행위를 시작하였고, 위병소 앞에 24시간 주둔하며 길을 막고, 입ㆍ출차들의 통행을 방해하며 폭언폭설, 인심공격, 협박을 하고, 심지어 경찰이 배치된 상황에서도 화물차에 계란투척, 짱돌투척, 염산투척, 각목가격으로 물리적 범법행위를 당당하게 일삼고 있습니다. 이러한 행위는 과실치사에 이르게 될수도 있고, 의도적 살인 행위가 될수도 있습니다. 이런 행위가 지속되는 시점에서, 현직 경찰들은 아무런 조치가 이루어 지지 않고 있습니다. 누구를 위한 공권력입니까? 하루하루 화물연대 시위로 인해 정신적 피해, 물리적 재산 피해를 입고 있습니다. 경찰에서는 집회시위시 ""과격한 물리적 충돌이 아닌 한 적극 개입하지 않고, 사후 사법처리 하는 것을 원칙""인 것은 알고 있습니다. 어디까지가 과격한 물리적 충돌이 아닌것입니까? 누구하나 죽어야 과격한 물리적 충돌이 되는 것입니까? 지금의 상황은 화물연대의 민주적 시위가 아닌 깡패 집단이자 사건 입니다. 이에 즉시 조치 부탁드립니다. 물리적 피해사진 첨부하겠습니다."
579505,2019-04-10,2019-05-10,0,240,교통/건축/국토,공사비를 못 받아 회사가 부도위기에 처해 있습니다.,"안녕하십니까. 저희 업체는 (주)***이란 종합건설업체로서 2017년 10월 부터 ~ 2018년 12월까지 경기도 평택시 **동 ***-*번지 일원에 도시형 생활주택 신축공사를 진행하였고 준공까지 마무리 하였습니다. 건축주인 D라는 시행사와 시공사인 (주)***(당사)은 도급계약 5,400,000,000에 공사계약을 체결하고 공사를 진행하였습니다. 공사진행 과정 중 시행사는 공사비 기성의 지급을 핑계로 시공사(당사)에게 대여금을 요구하였습니다. 당사는 혹여 공사비 기성을 지급받는데 차질이 생길것을 우려하여 공사기성금을 지급 받으면 그 기성금에서 D시행사가 요구하는대로 대여금을 대여해주었습니다. 그렇게 시행사의 강압에 의해 대여한 금액이 무려 약6억원에 이르게 되었습니다. 또한 준공을 받으면 바로 공사비를 지급할 것처럼 공사비 미지급확인서까지 작성하여 발행하고는 온갖 트집을 잡으며 약 7억6천만원의 공사비를 공사대금 지급 기한이 도과하였는데도 불구하고 지급을 하지 않고 있습니다. 이러한 연유로 인하여 당사는 물론이며 당사의 협력업체들 또한 감당하기 어려운 막대한 피해를 입고 있습니다. 그나마 D시행사를 상대로 공사대금 지급 청구의 소를 제기한다 해도 판결이 확정될 때까지는 장시간이 소요될 것으로 예상되는바, 당사와 같이 자금력이 약한 중소 시공사로서는 이를 감당하기가 매우 어렵습니다. 열심히 땀을 흘리며 일을 하면 보답을 받을 수 있을 거라고 생각하며 작은 회사를 이끌어가고 있습니다. 하지만 위와같은 D시행사의 횡포로 인하여 경기도 평택시 **동 ***-*번지 일원에 도시형 생활주택 신축공사에 참여했던 당사와 협력업체들은 각 회사의 부도를 걱정하고 있습니다. 부디 저희의 급박한 상황을 인지하시고, 빠른 조치를 해주시기를 간곡히 부탁드립니다 [본 게시물의 일부 내용이 국민 청원 요건에 위배되어 관리자에 의해 수정되었습니다]"
579506,2019-04-10,2019-05-10,0,"3,744",안전/환경,응급 환자 처치중 119 구급대원의 요청을 은평 구청장은 무시했습니다.  쓰러진 환자를 구호조치 하지 않은 구청장을 처벌해 주시기 바랍니다.,"나와 생각이 다르면 때려도 좋고..  죽어도 좋을까요? 은평구청이 주관한 설명회에서 고양시 주민이든 은평구 주민이든 환자가 발생했으면 구호조치를 하는 것이 인지상정이고 구청장의 책무이건만 김미경 은평구 구청장은 구호조치를 하지 않았고 마이크를 잠시 꺼달라는 119 구급대원이 요청도 들어주지 않았습니다. 4월4일 오후 4시에 은평구청에서 주관하는 은평 광역 자원순환센터에 대한 주민 설명회가 있었습니다. 은평 광역 자원순환센터는 마포구 서대문구 은평구의 폐기물 315톤을 중간 처리하는 쓰레기 집하장으로 예정부지의 주소는 서울시 은평구 이지만 삼방이 고양시에 둘러 쌓여있어  가뜩이나 서울시의 기피시설이 많은 고양시로서는 서울시 광역 쓰레기장을 받아드릴 수가 없었고 고양시 주민들의 반대 목소리는 당연히 컷 습니다. 그 중에 현수막을 몸에 두르고 반대의 목소리를 높이는 40대 고양시 여성이 있었는데  은평구 주민(여성2명 남성1명)들이 시끄럽다며 두르고 있던 현수막을 거세게 잡아당기며 얼굴을 치자 안경이 벗겨지고 앞니까지 다치는 집단폭행을 당하면서 결국 충격으로 쓰러졌습니다.  (파일 첨부: 사진) 쓰러진 환자는 맥박이 정상인의 2배가량 뛰었고 급격한 과 호흡으로 위태로웠습니다. 119구급대원이 와서 환자의 안정을 위해 사진을 찍으려는 카메라맨도 제지를 하고 설명회를 진행하는 마이크를 잠시 꺼달라고 요청을 했습니다. 그러나  김미경 은평구 구청장은 무시했습니다.  멈칫하는 진행자를 바라보며 오히려 계속하라는 지시 사인을 보냈습니다. 은평구 구청장이 계속하라는 지시를 하자 빨간 자켓을 입은 여성(은평구 갈현동 거주)은 마이크를 잠시만 꺼달라고 요청하러간 주민(은평구 폭포동)의 머리채를 휘어잡고 조용히 하라며 팔목을 손톱으로 할퀴기까지 했습니다. (사진) 은평구청이 주관한 설명회에서 고양시 주민이든 은평구 주민이든 환자가 발생했으면 구호조치를 하는 것이 인지상정이고 구청장의 책무이건만 김미경 은평구 구청장은 구호조치를 하지 않았습니다. 은평구청에서 마련한 구급차가 있었지만 내어주지 않았고 주민들이 119에 신고해서 구조대가 오기를 환자는 차디찬 바닥에서 가 뿐 숨을 쉬며 기다려야만 했습니다. 더군다나 마이크를 잠시만 꺼달라는 119 구조대의 요청에도 협조하지 않았습니다. 쓰러진 여성은 다름 아닌 은백투(은평 광역 자원순환센터 백지화 투쟁 위원회) 위원장이었습니다. 나와 생각이 다르면 때려도 좋고..  죽어도 좋을까요?... 은평구청장과 은평구청직원들은 사람이 쓰러져 실려 나가는데도 일어나는 시늉조차도 하지 않았습니다. 모두 약속이나 한 듯 정상이 아니었습니다. 장내에는 은평구청에서 동원한 500여명의 사람들이 있었고 YTN, 중앙일보 등 언론사도 많이 있었습니다. 쓰레기장 건립을 찬성하는 은평구 주민이 쓰러졌으면 달라졌을까요... 경기도 고양시에는 벽제 서울 시립승화원, 지역난방공사, 음식폐기물처리시설 분뇨 가축분뇨처리장 등등 일일이 헤아릴 수 없는 서울시 기피시설이 많이 들어와 있습니다. 마포구, 서대문구, 은평구가 필요해서 건립하는 시설이라면 3개구가 인접한 곳에 건립하는 것이 마땅하지 않겠습니까?  왜  또 고양시입니까? 내 아이가 다니는 초등학교 앞에 서울시 광역쓰레기장이 들어온다는데 가만히 있을 부모가 어디 있겠습니까? 은평구 구청장이 정녕 ""사람이 먼저"" 라는 생각이 1이라도 있다면 쓰러진 고양시 주민을 안타깝게 생각해야 합니다. 모두가 기피하는 시설이 건립되면 가장 직접적인 피해를 입을 인근 주민들에게 미안한 마음이 먼저 였어야 했습니다. 대한민국 대통령님.. 고양시민도 쓰레기장 싫습니다.  고양시민도 깨끗한 환경에서 안전하게 살고 싶습니다. 자원순환센터가 필요하다면 친환경이라면 서대문, 마포, 은평 3구가 인접한 곳에 짓게 하시고 은평 광역 자원순환센터는  백지화 시켜주십시오.. 그리고 경찰청장이라도 교통경찰 수신호 따라야하고요.. 구청장 아니라 대통령님이라도 119 구조대의 구조 활동 중에는 구조대의 요청에 협조 해야 한다고 생각합니다. 그러나 김미경 은평구 구청장은 끝까지 마이크를 정지시키지 않았고 반대 현수막을 두른 고양시 주민의 생명을 방관 했습니다. 일반인 김미경 이라면 죄를 물을 수 없지만, 은평구 구청장 김미경은 엄벌에 처해 주시기 바랍니다."
579507,2019-04-10,2019-05-10,0,133,교통/건축/국토,개발제한구역 내 과도한 행위제한으로 도심 속 흉물- 제도개선 건의,"개발제한구역의 과도한 행위제한으로 방치되어 있는 도심의 흉물을 아름다운 환경교육장이 될 수 있는 곳으로 변화 되도록 제도 개선을 건의 드리고자 청원합니다. 개발제한구역 내 임야 와 농지가 과도한 규제 의 행위제한으로 흉물처럼 방치되고 있는 폐 비닐하우스 내지는 칡 넝쿨 등의 잡풀로 무성하게 덮혀서 푸른숲이 죽어 가고 있는 것이 안타깝습니다. 주택만 지으려고 그린벨트를 해제할게 아니라 그린벨트를 훼손하지 않고 용도 변경 없이 환경보존을 하면서 방치 하지 않고 가꾸고 꾸미는 것이 국민이 바라는 것이라고 생각합니다. 보기 좋은 그린벨트, 자연을 가까이 접할 수 있는 곳으로 꾸밀 수 있는 농작물재배와 함께 도심 속에서 실버 연령층과 어린이집, 유치원, 초등교 등에게 농업체험 장소제공 과 맑은 공기를 마실 수 있는 소나무 밭 공간을 제공하면서 서로가 어울릴 수 있는 남녀노소 소통의 장 내지는 노유자 시설 자연유치원, 유아원, 가든 등 소규모 시설을 할 수 있게 하여 시민들이 가까이서 이용할 수 있도록 친환경적이고 공익을 위한 최소한 낮은 단계의 행위제한을 완화하면 좋을듯하여 건의 드리고자 합니다. 특히나 과거 1971년부터 40년이 넘게 과도한 토지이용 규제를 하는 것보다 시대가 흘러서 주변여건과 환경이 많이 바뀌면서 무작정 규제보다는 당초 취지를 흔들지 않는 범위에서 활용도를 높일 필요는 충분하다 생각되어 집니다. 지금은 노령인구가 급속도로 늘어 나면서 갈 곳이 없이 도심 한복판의 콘크리트 숲에서 요양하고 보호 받고 있는 것보다 접근로가 좋은 곳에 주 야간 보호센터 등이 있다면 좋을 듯 합니다. 최소한의 경미한 행위 만큼은 주민들과 함께하는 열린 마음으로 생활편익을 도모 해 줄 수 있는 사안이 아닌가 하여  건의 드리고자 합니다. 주변환경을 훼손하지 않고 모두가 이용 할 수 있는 깨끗한 곳이 되길 바라는 마음으로 의견을 드리고자 하오니 재고하여 주시면 고맙겠습니다.. 첨부사진)【방치되어 칡넝쿨 등으로 뒤 덮혀 죽어가는 수목 과 산 등】 【방치되어 흉물스런 폐비닐하우스와 폐기물 등】 *선진국등 독일의 자연유치원 사례등"
579508,2019-04-10,2019-05-10,0,"22,445",문화/예술/체육/언론,KBS 시청료 납부를 거부합니다.,"강원도 산불이 급박한 상황으로 진행되고 있을 때 재난주관방송인 KBS 는 재난방송을 하지 않고 정규방송을 방송하며 자막으로만 산불상황을 알렸습니다. 이는 국민의 생명을 지켜야 하는 재난주관방송사의 의무를 저버린 행동으로 비판받아 마땅한 사안입니다. 뿐만 아니라 국가의 중요한 행사를 소개하는데에도 미진함을 보입니다. 최근 대통령의 해외순방이나 다른 나라의 지도자가 우리나라를 방문하는 중요한 외교행사를 보도하지 않는 경우가 많습니다. 이는 공영방송이 국민에게 알려야 할 중요한 정보를 제대로 알리지 않는 것이며 또한 우리 대통령의 방문을 주요 뉴스로 다루는 상대국에 대한 예의에도 어긋나는 일입니다. 이에 분노하는 일인의 시민은 KBS의 안일한 태도에 대한 비판의 의미로 시청료 납부를 거절하고 싶으나 시청료를 전기요금과 함께 납부하도록 되어있는 구조 때문에 시청자, 소비자, 국민으로서 사용할 수 있어야 하는 정당한 권리를 행사할 수 없는 상황입니다. 공영방송의 임무를 방기하고 재난주관방송으로서의 의무를 소홀히 한 KBS에 국민이 최소한의 거부권을 행사할 수 있도록 시청료를 전기요금과 분리고지해주시기를 청원합니다."
579509,2019-04-10,2019-05-10,0,"16,263",경제민주화,화물시장의 적폐를 개선해주세요.,"안녕하세요. 대통령님. 그리고 국민여러분. 저는 화물운수업을 하고 있는 40대 개인사업자 입니다. 화물 적폐에 대한 이야기를 들어주시고 국민 여러분의 공감과 정부관계자의 답변을 바랍니다. 저는 3년 전 다니던 직장을 그만두고 화물운수업으로 전업한 가장입니다. 홑벌이로 근근이 살아갔지만 아이가 생기면서 기존의 수입으로는 가족의 미래를 담보할 수 없다고 판단했고 위험하고 고될지라도 나 하나만 고생하면 아쉽지않게 살 수 있겠지하고 지옥의 문을 열고 입성하게 된, 여러분과 똑같은 평범한 가장입니다. 그렇습니다. 판단은 본인이 해놓고 이제와서 하소연한다고 생각할 수도 있습니다. 그러나 화물시장의 적폐가 이리도 심각한지 모르고 발을 들인 저의 무지만을 탓하기엔 지금 이 순간에도 수 많은 화물노동자와 그 가족들이 피눈물을 흘리고 있을 것이기에 글을 작성하게 되었습니다. 우리나라 헌법 119조의 2항에는 ‘국가는 균형 있는 국민경제 성장과 적정한 소득 분배, 시장 지배와 경제력 남용 방지, 경제주체 간의 조화를 통한 경제 민주화를 위해 경제에 관한 규제와 조정을 할 수 있다’고 명시되어 있습니다. 그런데 이에 심각하게 반 하는 행위들이 화물 시장에서는 그 누구의 제재도 받지 않고 행해지고 묵과되고 있습니다. 대표적인 예로 중간에서 화주와 차주를 연결해주는 화물알선소가 있습니다. 이들은 국민의 생명을 위협하고 국가의 도로시설을 파손시키는 과적 조장과 화물운송료의 지속적인 하락의 주범이자 악의 축이라고 볼 수 있습니다. 놀라운 사실은 화주와 차주를 연결해주며 중간에서 취득하는 수수료의 법정 최고율이 정해져 있지 않다는 것입니다. 그렇다보니 기본 20%에서 많게는 5~60%까지도 수수료 명목으로 폭리를 취하고 있는 실정입니다. 그렇습니다. 악성 고리대금업자는 명함도 못내미는 형국인거죠. 공인중개사, 신용카드, 대출은행등 대부분의 중간 브로커의 수수료율이 법으로 정해져 어느정도 보호장치가 있는 것과는 대조적인것이며 상식에 매우 반하는 해괴한 형태인데도 그 누구의 개선의지가 안보입니다. 차주가 일을 안받으면 될 것 아니냐? 거부하면 될 것 아니냐? 그리하면 수요와 공급의 법칙에 따라 운송료도 오를 것이고 과적 요구를 계속 거부하면 과적짐도 없어질 것 아니냐? 네.. 그게 가능하다면 참으로 소설같은 아름다운 세상이 되었겠지요. 결과적으로 화주는 화주대로 정상요금을 지불하지만 물건을 실으러 온 차주의 퉁명스러움에 불만이고 차주는 차주대로 저단가 운송료를 받고 갔는데 화주가 바라는게 많으니 불만인 상황이 빈번하게 됩니다. 화물 시장에서 차주는 철저한 을의 위치에 존재합니다. 그리고 많은 차주가 이용하고있는 화물어플에서도 마찬가지입니다. 화물어플과 같은 역경매 방식에서 판매자는 무조건 손해를 볼 수 밖에 없는데 굳이 어려운 경제사전을 살펴보지 않아도 온라인게임에서 직거래만 가능할 때와 경매장이 생겼을 때 기존 물품의 가격이 10배 이상 깍이는것을 어렵지 않게 찾아볼 수 있습니다. 그래서 필요한 것이 알선수수료 상한제와 운송료 공개제, 그리고 최저임금제와 같이 화물노동자의 최소한의 생존권을 보장할 수 있는 표준운임제의 도입입니다. 추레라와 레미콘뿐만이 아닌 전차종의 표준운임제 말입니다. 개인사업자는 엄연히 사업이기에 경쟁력이 뒤쳐지면 도태되고 폐업하는게 당연한 수순이라고 생각할 수 있습니다. 그러나 화물노동자는 특수노동자로서 국가 경제의 중요한 역할을 하고 있고 그들이 무너지면 다른 업종과 국민에게 필연적으로 심각한 피해가 갈 수 밖에 없는 구조입니다. 그리고 아시다시피 이미 다른 운수종사자인 택시,버스는 정부가 개입하여 물가상승률에 맞춰 어느정도 적정 운송료로 생존권을 보장받고 있는게 사실입니다. 그런데 화물운송료는 20년전과 별 차이가 없고 경우에 따라서는 오히려 더 낮아지고 있는게 현실입니다. 어떻게 생각하십니까? 단순히 자유시장 경제 체제에서 자연스럽게 적정 운송료로 찾아간 것일까요? 아닙니다. 전형적으로 을의 살과 뼈를 취해 부당하게, 아무런 제재없이 이득을 보는 자들이 있다는 것입니다. 그래서 헌법에 명시된 대로 정부에서 개입하여 하루빨리 건전한 시장이 될 수 있도록 하여 달라고 읍소하는 것입니다. 그리고 정부에게 묻습니다. 톨게이트 과적단속 기준인 축중 10톤이하 통과는 누구를 위한 법입니까? 5톤이상 화물차들에게 가변축을 설치 할 수있게하는 것은 누구를 위한 것입니까? 안전을 위해 허용했다는 것은 허울 좋은 거짓이고 현실은 과적을 종용하는 구조변경이라는 것을 모르는게 아닐텐데 말입니다. 정녕 국민의 생명과 안전이 소중하다면 축중으로 과적 단속을 할 것이 아니라 차량 총중량으로 단속하면 간단히 해결될 일입니다. 이제는 기업과 화주를 위한 정책만이 아닌 차주와 국민의 생명과 안전을 중점으로 정책을 펴주시면 안될까요? 차주가 좋아서 싣는줄 아시는 대부분의 국민들은 화물차만 비난합니다. 그 과정이 어떠했는지는 관심도 없을뿐더러 언론에서는 화물차와 같은 대형차 사고시 그 원인을 찾기보다 비난할 대상으로 가장 만만하고 힘없는 운수노동자를 먹잇감으로 던져주곤 합니다. 국민 여러분께 분명히 말씀드립니다. 저희 화물노동자는 과적짐을 극도로 싫어합니다. 과적짐을 싣게되면 오르막을 오르기 힘들고 내리막은 브레이크가 밀려 죽음의 공포를 느껴야하며 연료소모량은 정상짐의 두배이상이고 차량은 차츰 병들고 노후가 빨라져 수리비로 수입보다 지출이 많아지게 됩니다. 그럼에도 불구하고 때때로 과적짐을 싣게되는건 지금의 현실에서는 선택의 여지가 별로 없기 때문입니다. 위에 기술한 대로 과적 단속 기준을 변경하면 5톤차 1대에 10톤을 실어 보내던 짐이 5톤차 2대에 실어 보낼수있게되고 결과적으로 일감이 늘어나 화물차의 무리한 운행이 줄어 들고 도로의 안전이 보장되어 국민의 소중한 생명과 국가의 재산을 지킬 수 있게 되는겁니다. 물론 기업과 화주의 운송료 증가로 인해 물가 상승을 불러오는 결과를 초래할 수 있겠지만 어느것이 정상적인 국가로 가는 길인지, 국민의 안전과 기업의 운송료 절감중에 무엇에 중점을 둬야할지는 길게 생각해보지 않아도 알 수 있을 것 입니다. 요즘은 미세먼지의 주범으로 노후 화물차를 타겟으로 차량변경을 종용하고 있고 일부 도로는 진입시 불법으로 규정하여 벌금까지 징수하고 있습니다. 대부분의 화물노동자들은 영세한 생계형 노동자들입니다. 차를 변경하고싶어도 여유자금이 없고 무리해서 빚을 내 변경하면 비현실적인 운송료의 환경에서 고통은 더욱 가중될 수밖에 없어 이러지도 저러지도 못하는게 사실입니다. 그리고 국가로부터 아무런 보호장치가 없고 대부분의 국민들의 공공의 적으로 취급받는게 현실입니다. 억울하고 서글픕니다. 저희도 성실히 세금을 납부하고 경제의 중요한 축을 담당하고 있는 대한민국의 국민입니다. 제발 저희를 살려주세요. 도와주세요."
579510,2019-04-10,2019-05-10,0,"2,094",행정,바다에서 동력선을 이용해 낚시하는것은 되고 민물에서 하는 것은 안되는 이상한법.,내수면어업법 제 18조와 동법 시행령 14조 1항에 의하면 내수면에서 동력선을 이용해서 유어행위(낚시)를 하는것을 금지하고 있습니다. 영세한어민들의 생존권을 보호하기위해  만든 법의취지가  일반국민의 행복추구권을 심각하게 훼손하고 있습니다. 동력선을 이용해  바다에서 낚시하는것은 되나 내수면에서는 안되고/ 노젓고  낚시하는것은 되나 동력선을 이용하는것은 안되고/ 동력선을 이용해  단순 이동은 되나 낚시를 하연 안된다는게 참으로 웃기는 현실입니다. 어민의 어구의 손상을 막기위해서라면 어구손상에 대해 조항을 넣어야지 구더기  무서워서 장 담그지 마라는 식으로  동력선을 이용한 낚시를 내수면에서만 특히 하지마라는 법이 참으로 웃깁니다. 낚시인구 700만시대 미국이나 일본등 낚시선진국에서는 보편화된 동력선낚시를 왜 유독 우리나라에서는 규제를 위한 규제로 막고 있는지요? 낚시관리 및 육성법이 생긴지 몇년이 되어가는 상황에서 낚시법의 개정을 통해 어구보호를 하고 국민의 행복추구도 동시에하는 그런  세심한 배려가 아쉽습니다. 내수면어업법 18조와 동법 시행령 14조 1항을 현실에  맞게 폐지하고 낚시관리 및 육성법을 보완하여 어민의 생존권과 일반국민의 행복추구권이 공생하였으면 합니다
